"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","194.80500146461839","29.02952281756713","4.9082676871867665","-0.30802879619250306","0.2097","0.18","0.23939999999999995","1400","0.0005979795428059563","0","0.0005979795428059563","0.0005979795428059563","0_14:0.024862789201606228","0_14:660","true"
"1","141.62851267068336","75.62212452655581","4.855710935343725","0","0.09529999999999994","0.07540000000000002","0.1152","1400","0.0003048664714415469","0","0.0003048664714415469","0.0003048664714415469","1_2:0.016834304363453567;1_0:0.11501011050046983","1_2:660;1_0:660","true"
"2","258.47363457352753","45.52509278881566","4.7331597898579485","-0.310921510038521","0.009300000000000086","0.0046000000000000485","0.014","1400","0.0002594460555650128","0","0.0002594460555650128","0.0002594460555650128","","","true"
"3","233.35958840976372","47.016905540880906","4.81979091985253","-0.31055400749501577","0.13880000000000003","0.141","0.13660000000000005","1400","0.0005307628263090985","0","0.0005307628263090985","0.0005307628263090985","3_2:0.010407556573978793","3_2:660","true"
"4","226.64374391160084","58.88736301398594","4.854370823625822","-0.3104251428610955","0.054200000000000026","0.0636","0.04479999999999995","1400","0.0014504272864327753","0","0.0014504272864327753","0.0014504272864327753","4_5:0.008471917929963158;4_3:0.025081585727915967","4_5:660;4_3:660","true"
"5","192.445244802012","372.72160895939203","4.728323353800119","-0.31070316004789056","0.03770000000000007","0.0654","0.010000000000000009","1400","0.00013756509995295908","0","0.00013756509995295908","0.00013756509995295908","","","true"
"6","246.95019063596226","334.5899962432901","4.78268648795033","-0.3101479366401487","0.018000000000000016","0.02059999999999995","0.0154","1400","0.00011602492152546459","0","0.00011602492152546459","0.00011602492152546459","6_5:0.004402643377208776","6_5:660","true"
"7","73.81644630547339","59.217640639975315","4.943900803465625","-0.30797908696999415","0.007500000000000062","0.010399999999999965","0.0046","1400","0.0005016744133039327","0","0.0005016744133039327","0.0005016744133039327","7_6:0.00796316263499769","7_6:660","true"
"8","203.0146689193227","119.53385941552914","5.1692689767196365","-0.30532288751293507","0.014899999999999913","0.008199999999999985","0.0216","1400","0.00023965398070262828","0","0.00023965398070262828","0.00023965398070262828","8_16:0.005383478164871697;8_9:0.011063144834984967;8_7:0.01754621106617152","8_16:660;8_9:660;8_7:660","true"
"9","333.2673244551281","74.62973204759261","4.935695048752301","-0.3087418835690171","0.005300000000000082","0.006","0.0046000000000000485","1400","0.00020591543540909033","0","0.00020591543540909033","0.00020591543540909033","9_10:0.0060267764324711814","9_10:660","true"
