"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","360.7498745785","357.21757878233007","4.822494030896225","-0.30896613792557315","0.02739999999999998","0.0244","0.030399999999999983","1400","0.00013895205675849547","0","0.00013895205675849547","0.00013895205675849547","","","true"
"1","240.5117639406121","387.94986309885377","4.772689563129793","-0.3102210761952548","0.009199999999999986","0.009199999999999986","0.0092","1400","0.00020536736724581105","0","0.00020536736724581105","0.00020536736724581105","1_0:0.005623696066160699","1_0:660","true"
"2","301.76892678877334","270.9450937221716","4.718297687384043","-0.3104037776462388","0.028100000000000014","0.0364","0.01980000000000004","1400","0.0001615057229766082","0","0.0001615057229766082","0.0001615057229766082","2_3:0.005319424695409247;2_1:0.005051096959049511","2_3:660;2_1:660","true"
"3","296.8737074199082","212.8053495652071","4.800213792831013","-0.30888128433002476","0.04830000000000001","0.03400000000000003","0.0626","1400","0.00023349451489445918","0","0.00023349451489445918","0.00023349451489445918","3_4:0.046140831008971345","3_4:660","true"
"4","222.79876370075615","66.06252526851256","4.832876209348832","-0.308629272986329","0.2583333333333333","0.19","0.32666666666666666","1400","0.0003433382754696885","0","0.0003433382754696885","0.0003433382754696885","","","true"
"5","178.0702214108904","101.06889879911535","4.660658902220718","-0.31065594686359554","0.09333333333333327","0.07333333333333336","0.11333333333333333","1400","0.0006267524331219791","0","0.0006267524331219791","0.0006267524331219791","5_4:1","5_4:660","true"
"6","267.26721703359675","40.54576053154817","4.906936898564438","-0.3068148235588046","0.04279999999999995","0.04159999999999997","0.044","1400","0.0002861189910925714","0","0.0002861189910925714","0.0002861189910925714","6_7:0.012502119848649934;6_5:0.010048013202825667","6_7:660;6_5:660","true"
"7","405.04896559086956","10.305573372734656","4.719566839256636","-0.31037202891110505","0.02090000000000003","0.02080000000000004","0.021","1400","0.0005199566231888481","0","0.0005199566231888481","0.0005199566231888481","7_8:0.020404172119976555","7_8:660","true"
"8","268.2965046931057","8.371782296291654","4.635547766904816","-0.28702409316453614","0.13650000000000007","0.1016","0.1714","1400","0.0016091463382395636","0","0.0016091463382395636","0.0016091463382395636","8_16:1","8_16:660","true"
"9","328.2282142503609","81.71361613148608","4.716764708557771","-0.3104073125859284","0.0826","0.0484","0.11680000000000001","1400","0.00038108727264938224","0","0.00038108727264938224","0.00038108727264938224","9_8:0.02242011447971473;9_10:0.006443203836578787","9_8:660;9_10:660","true"
"10","288.911379363882","275.5817866518419","4.6694117093457015","0","0.07579999999999998","0.0748","0.07679999999999998","1400","0.00015293448474546035","0","0.00015293448474546035","0.00015293448474546035","","","true"
"11","348.30073417534516","362.5068651214577","4.725287980887345","-0.3101830225622285","0.060699999999999976","0.06220000000000003","0.0592","1400","0.0008820730275650963","0","0.0008820730275650963","0.0008820730275650963","11_10:0.020113832767289314","11_10:660","true"
"12","275.0588512163911","98.97823802064099","4.682905191690054","-0.31013218093198514","0.019299999999999984","0.0202","0.018399999999999972","1400","0.0003078217572819909","0","0.0003078217572819909","0.0003078217572819909","12_11:0.013147552026473025","12_11:660","true"
"13","238.7442409202665","105.14132979396815","4.729986558944351","0","0.006699999999999928","0.008399999999999963","0.005","1400","0.0006213970116557333","0","0.0006213970116557333","0.0006213970116557333","13_12:0.012126816343930119","13_12:660","true"
"14","181.15579852244025","25.15024652502217","4.740316971422338","-0.31041215354308554","0.0827","0.09060000000000001","0.0748","1400","0.00020744155213163473","0","0.00020744155213163473","0.00020744155213163473","14_0:0.005767866451753756;14_18:0.008737161281025752","14_0:660;14_18:660","true"
"15","348.2128839384474","219.35555895138555","4.669108312802837","-0.31131069353860613","0.0040000000000000036","0.0046000000000000485","0.0034","1400","0.0002057848075073986","0","0.0002057848075073986","0.0002057848075073986","15_4:0.013180967446861952","15_4:660","true"
"16","7.717159571191255","332.4258176295806","4.686079832907678","0","0.4387","0.4468","0.4306","1400","0.046165690727967064","0","0.046165690727967064","0.046165690727967064","16_26:1","16_26:660","true"
"17","249.3629853765571","240.64444445876424","4.880332678005431","-0.30671781899604517","0.0262","0.0262","0.0262","1400","0.0006089920633027196","0","0.0006089920633027196","0.0006089920633027196","17_12:0.01596991248298052;17_30:0.008605184753989858","17_12:660;17_30:660","true"
"18","278.082448833011","111.43157112878639","4.652949181804178","-0.3108671975016885","0.0050000000000000044","0.0082","0.0018000000000000238","1400","0.0003800167921462614","0","0.0003800167921462614","0.0003800167921462614","18_19:0.015814592364487373","18_19:660","true"
"19","407.4241478921963","157.7217041844341","4.878871579304719","-0.30848203027556864","0.007099999999999995","0.007800000000000029","0.0064","1400","0.0002491080782855968","0","0.0002491080782855968","0.0002491080782855968","","","true"
"20","186.8462733619046","128.05657391355547","4.650849142305198","-0.31198978446892245","0.013600000000000056","0.0156","0.011600000000000055","1400","0.00028697237510562666","0","0.00028697237510562666","0.00028697237510562666","20_19:0.008350594026894476","20_19:660","true"
